Record Info,Last Modified User,Last Modified Date,ID,Member Name,Primary Domain,Date,Type,Area,Role,Activity Type,Geographical Scope,Host,Country,Province,City,Number of Attendees,Main Audience,Hours,Teaching Effectiveness Score,URL,Competitive,Education Presentation,Remarks,Funding Organization,Authorship,Title,Rest of Citation,Personal Remuneration,Other Details (doesn't print)
1,"Malcomson, Paul",3/21/2014 12:52:47 PM,60834,"Malcomson, Paul",Psychiatry,2014/03/14,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
1,"Malcomson, Paul",11/15/2013 11:26:12 AM,58457,"Malcomson, Paul",Psychiatry,2015,Invited Lectures,,Invited Lecturer,Community Outreach Activity,Regional,,Canada,Ontario,London,,Knowledge User,1,,,False,True,,,"Schwarzenegger  A, Harper S, Larson G.",A Personal Account on Bathing a Cat without Injury,,,
1,"Malcomson, Paul",11/15/2013 11:23:12 AM,58456,"Malcomson, Paul",Psychiatry,2000,Poster Presentation,,Presenter,Continuing Medical Education,Local,,Canada,Prince Edward Island,,,Knowledge User,,,,False,True,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Harper S, Larson G.",How to Bathe a Cat Without Personal Injury,,,
1,"Malcomson, Paul",11/15/2013 11:08:28 AM,58460,"Malcomson, Paul",Psychiatry,2001/06,Abstract Presented,,Presenter,Continuing Medical Education,International,,Canada,Ontario,London,,Knowledge User,,,,False,True,,,"Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","How to bathe a Cat, gently.",,,
2,"Malcomson, Paul",4/29/2015 11:59:09 AM,67445,"Smith, Drew",Psychiatry,2009/07/01,Student Presentation,,Presenter,Community Outreach Activity,Local,organizer field,Canada,Ontario,london,1000,Decision Maker,4,4/7 score,url field,False,True,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",the rest of citation field,"$12,334.55",
2,"Malcomson, Paul",2/6/2015 1:02:37 PM,65944,"Smith, Drew",Psychiatry,2009/07,Visiting Professorship,,Visiting Professor,Community Outreach Activity,Regional,tangible entries,,,,,,,,,False,False,,,"Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
2,"Malcomson, Paul",1/23/2015 11:37:29 AM,65862,"Smith, Drew",Psychiatry,2009/07/01,Abstract Presented,,Presenter,Community Outreach Activity,Local,organizer field,Canada,Ontario,london,1000,Decision Maker,4,4/7 score,url field,False,True,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Harper S, Larson G.",teaching dossier investigation @@@,the rest of citation field,"$12,334.55",
2,"Malcomson, Paul",11/14/2014 1:18:55 PM,58455,"Smith, Drew",Psychiatry,2013/11/15,Plenary Presentation,,Keynote Speaker,Continuing Medical Education,Regional,Western University,Canada,Ontario,London,,Knowledge User,,,,False,True,,,"Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.",,,,
2,"Malcomson, Paul",6/10/2014 11:21:18 AM,62407,"Smith, Drew",Psychiatry,2012,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,,Canada,,,,Knowledge User,,,,False,False,,,"Smith D, Strangelove Dr, Malcomson P.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
2,"Malcomson, Paul",6/10/2014 11:20:45 AM,62406,"Smith, Drew",Psychiatry,2012/07/01,Visiting Professorship,,Visiting Professor,Continuing Medical Education,International,,United States,,,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
2,"Malcomson, Paul",5/21/2014 12:12:24 PM,61877,"Smith, Drew",Psychiatry,2008/01/13,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
2,"Malcomson, Paul",5/21/2014 12:11:26 PM,61876,"Smith, Drew",Psychiatry,2015/01,Invited Lectures,,,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Harper S, Larson G.",secondarily testing the sort order using the rest of citation field,This is the rest of citation,,
2,"Malcomson, Paul",5/21/2014 12:10:57 PM,61875,"Smith, Drew",Psychiatry,2010/01/01,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Provincial,University of Western Ontario,Canada,Ontario,London,,Knowledge User,2,,,False,False,,,"Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
2,"Malcomson, Paul",4/3/2014 1:48:04 PM,61072,"Smith, Drew",Psychiatry,2021/03,Visiting Professorship,,Invited Lecturer,Community Outreach Activity,Regional,,,,,,,,,,False,False,,,"Smith D, Strangelove Dr, Malcomson P.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
2,"Malcomson, Paul",3/21/2014 12:52:47 PM,60834,"Smith, Drew",Psychiatry,2014/03/14,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
2,"Malcomson, Paul",11/15/2013 11:26:12 AM,58457,"Smith, Drew",Psychiatry,2015,Invited Lectures,,Invited Lecturer,Community Outreach Activity,Regional,,Canada,Ontario,London,,Knowledge User,1,,,False,True,,,"Schwarzenegger  A, Harper S, Larson G.",A Personal Account on Bathing a Cat without Injury,,,
2,"Malcomson, Paul",11/15/2013 11:23:12 AM,58456,"Smith, Drew",Psychiatry,2000,Poster Presentation,,Presenter,Continuing Medical Education,Local,,Canada,Prince Edward Island,,,Knowledge User,,,,False,True,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Harper S, Larson G.",How to Bathe a Cat Without Personal Injury,,,
2,"Malcomson, Paul",11/15/2013 11:08:28 AM,58460,"Smith, Drew",Psychiatry,2001/06,Abstract Presented,,Presenter,Continuing Medical Education,International,,Canada,Ontario,London,,Knowledge User,,,,False,True,,,"Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","How to bathe a Cat, gently.",,,
3,"Malcomson, Paul",4/29/2015 11:59:09 AM,67445,"Strangelove, Dr.",Psychiatry,2009/07/01,Student Presentation,,Presenter,Community Outreach Activity,Local,organizer field,Canada,Ontario,london,1000,Decision Maker,4,4/7 score,url field,False,True,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",the rest of citation field,"$12,334.55",
3,"Malcomson, Paul",2/6/2015 1:02:37 PM,65944,"Strangelove, Dr.",Psychiatry,2009/07,Visiting Professorship,,Visiting Professor,Community Outreach Activity,Regional,tangible entries,,,,,,,,,False,False,,,"Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
3,"Malcomson, Paul",1/23/2015 11:37:29 AM,65862,"Strangelove, Dr.",Psychiatry,2009/07/01,Abstract Presented,,Presenter,Community Outreach Activity,Local,organizer field,Canada,Ontario,london,1000,Decision Maker,4,4/7 score,url field,False,True,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Harper S, Larson G.",teaching dossier investigation @@@,the rest of citation field,"$12,334.55",
3,"Malcomson, Paul",11/14/2014 1:18:55 PM,58455,,Psychiatry,2013/11/15,Plenary Presentation,,Keynote Speaker,Continuing Medical Education,Regional,Western University,Canada,Ontario,London,,Knowledge User,,,,False,True,,,"Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.",,,,
3,"Malcomson, Paul",6/10/2014 11:21:18 AM,62407,"Strangelove, Dr.",Psychiatry,2012,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,,Canada,,,,Knowledge User,,,,False,False,,,"Smith D, Strangelove Dr, Malcomson P.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
3,"Malcomson, Paul",6/10/2014 11:20:45 AM,62406,"Strangelove, Dr.",Psychiatry,2012/07/01,Visiting Professorship,,Visiting Professor,Continuing Medical Education,International,,United States,,,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
3,"Malcomson, Paul",5/21/2014 12:12:24 PM,61877,"Strangelove, Dr.",Psychiatry,2008/01/13,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
3,"Malcomson, Paul",5/21/2014 12:11:26 PM,61876,"Strangelove, Dr.",Psychiatry,2015/01,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Harper S, Larson G.",secondarily testing the sort order using the rest of citation field,This is the rest of citation,,
3,"Malcomson, Paul",5/21/2014 12:10:57 PM,61875,"Strangelove, Dr.",Psychiatry,2010/01/01,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Provincial,University of Western Ontario,Canada,Ontario,London,,Knowledge User,2,,,False,False,,,"Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
3,"Malcomson, Paul",4/3/2014 1:48:04 PM,61072,"Strangelove, Dr.",Psychiatry,2021/03,Visiting Professorship,,Invited Lecturer,Community Outreach Activity,Regional,,,,,,,,,,False,False,,,"Smith D, Strangelove Dr, Malcomson P.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
3,"Malcomson, Paul",3/21/2014 12:52:47 PM,60834,"Strangelove, Dr.",Psychiatry,2014/03/14,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
3,"Malcomson, Paul",11/15/2013 11:26:12 AM,58457,"Strangelove, Dr.",Psychiatry,2015,Invited Lectures,,Invited Lecturer,Community Outreach Activity,Regional,,Canada,Ontario,London,,Knowledge User,1,,,False,True,,,"Schwarzenegger  A, Harper S, Larson G.",A Personal Account on Bathing a Cat without Injury,,,
3,"Malcomson, Paul",11/15/2013 11:23:12 AM,58456,"Strangelove, Dr.",Psychiatry,2000,Poster Presentation,,Presenter,Continuing Medical Education,Local,,Canada,Prince Edward Island,,,Knowledge User,,,,False,True,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Harper S, Larson G.",How to Bathe a Cat Without Personal Injury,,,
3,"Malcomson, Paul",11/15/2013 11:08:28 AM,58460,"Strangelove, Dr.",Psychiatry,2001/06,Abstract Presented,,Presenter,Continuing Medical Education,International,,Canada,Ontario,London,,Knowledge User,,,,False,True,,,"Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","How to bathe a Cat, gently.",,,
4,"Malcomson, Paul",4/29/2015 11:59:09 AM,67445,"Snuffleupagus, Mr",Psychiatry,2009/07/01,Student Presentation,,Presenter,Community Outreach Activity,Local,organizer field,Canada,Ontario,london,1000,Decision Maker,4,4/7 score,url field,False,True,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",the rest of citation field,"$12,334.55",
4,"Malcomson, Paul",2/6/2015 1:02:37 PM,65944,"Snuffleupagus, Mr",Psychiatry,2009/07,Visiting Professorship,,Visiting Professor,Community Outreach Activity,Regional,tangible entries,,,,,,,,,False,False,,,"Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
4,"Malcomson, Paul",1/23/2015 11:37:29 AM,65862,"Snuffleupagus, Mr",Psychiatry,2009/07/01,Abstract Presented,,Presenter,Community Outreach Activity,Local,organizer field,Canada,Ontario,london,1000,Decision Maker,4,4/7 score,url field,False,True,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Harper S, Larson G.",teaching dossier investigation @@@,the rest of citation field,"$12,334.55",
4,"Malcomson, Paul",11/14/2014 1:18:55 PM,58455,"Snuffleupagus, Mr",Psychiatry,2013/11/15,Plenary Presentation,,Keynote Speaker,Continuing Medical Education,Regional,Western University,Canada,Ontario,London,,Knowledge User,,,,False,True,,,"Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.",,,,
4,"Malcomson, Paul",6/10/2014 11:21:18 AM,62407,"Snuffleupagus, Mr",Psychiatry,2012,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,,Canada,,,,Knowledge User,,,,False,False,,,"Smith D, Strangelove Dr, Malcomson P.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
4,"Malcomson, Paul",6/10/2014 11:20:45 AM,62406,"Snuffleupagus, Mr",Psychiatry,2012/07/01,Visiting Professorship,,Visiting Professor,Continuing Medical Education,International,,United States,,,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
4,"Malcomson, Paul",5/21/2014 12:12:24 PM,61877,"Snuffleupagus, Mr",Psychiatry,2008/01/13,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
4,"Malcomson, Paul",5/21/2014 12:11:26 PM,61876,"Snuffleupagus, Mr",Psychiatry,2015/01,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Harper S, Larson G.",secondarily testing the sort order using the rest of citation field,This is the rest of citation,,
4,"Malcomson, Paul",5/21/2014 12:10:57 PM,61875,"Snuffleupagus, Mr",Psychiatry,2010/01/01,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Provincial,University of Western Ontario,Canada,Ontario,London,,Knowledge User,2,,,False,False,,,"Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
4,"Malcomson, Paul",4/3/2014 1:48:04 PM,61072,"Snuffleupagus, Mr",Psychiatry,2021/03,Visiting Professorship,,Invited Lecturer,Community Outreach Activity,Regional,,,,,,,,,,False,False,,,"Smith D, Strangelove Dr, Malcomson P.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
4,"Malcomson, Paul",3/21/2014 12:52:47 PM,60834,"Snuffleupagus, Mr",Psychiatry,2014/03/14,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
4,"Malcomson, Paul",11/15/2013 11:26:12 AM,58457,"Snuffleupagus, Mr",Psychiatry,2015,Invited Lectures,,Invited Lecturer,Community Outreach Activity,Regional,,Canada,Ontario,London,,Knowledge User,1,,,False,True,,,"Schwarzenegger  A, Harper S, Larson G.",A Personal Account on Bathing a Cat without Injury,,,
4,"Malcomson, Paul",11/15/2013 11:23:12 AM,58456,"Snuffleupagus, Mr",Psychiatry,2000,Poster Presentation,,Presenter,Continuing Medical Education,Local,,Canada,Prince Edward Island,,,Knowledge User,,,,False,True,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Harper S, Larson G.",How to Bathe a Cat Without Personal Injury,,,
4,"Malcomson, Paul",11/15/2013 11:08:28 AM,58460,"Snuffleupagus, Mr",Psychiatry,2001/06,Abstract Presented,,Presenter,Continuing Medical Education,International,,Canada,Ontario,London,,Knowledge User,,,,False,True,,,"Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","How to bathe a Cat, gently.",,,
5,"Malcomson, Paul",4/29/2015 11:59:09 AM,67445,"Baggins, Bilbo",Psychiatry,2009/07/01,Student Presentation,,Presenter,Community Outreach Activity,Local,organizer field,Canada,Ontario,london,1000,Decision Maker,4,4/7 score,url field,False,True,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",the rest of citation field,"$12,334.55",
5,"Malcomson, Paul",2/6/2015 1:02:37 PM,65944,"Baggins, Bilbo",Psychiatry,2009/07,Visiting Professorship,,Visiting Professor,Community Outreach Activity,Regional,tangible entries,,,,,,,,,False,False,,,"Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
5,"Malcomson, Paul",1/23/2015 11:37:29 AM,65862,"Baggins, Bilbo",Psychiatry,2009/07/01,Abstract Presented,,Presenter,Community Outreach Activity,Local,organizer field,Canada,Ontario,london,1000,Decision Maker,4,4/7 score,url field,False,True,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Harper S, Larson G.",teaching dossier investigation @@@,the rest of citation field,"$12,334.55",
5,"Malcomson, Paul",11/14/2014 1:18:55 PM,58455,"Baggins, Bilbo",Psychiatry,2013/11/15,Plenary Presentation,,Keynote Speaker,Continuing Medical Education,Regional,Western University,Canada,Ontario,London,,Knowledge User,,,,False,True,,,"Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.",,,,
5,"Malcomson, Paul",6/10/2014 11:21:18 AM,62407,"Baggins, Bilbo",Psychiatry,2012,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,,Canada,,,,Knowledge User,,,,False,False,,,"Smith D, Strangelove Dr, Malcomson P.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
5,"Malcomson, Paul",6/10/2014 11:20:45 AM,62406,"Baggins, Bilbo",Psychiatry,2012/07/01,Visiting Professorship,,Visiting Professor,Continuing Medical Education,International,,United States,,,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
5,"Malcomson, Paul",5/21/2014 12:12:24 PM,61877,"Baggins, Bilbo",Psychiatry,2008/01/13,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
5,"Malcomson, Paul",5/21/2014 12:11:26 PM,61876,"Baggins, Bilbo",Psychiatry,2015/01,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Harper S, Larson G.",secondarily testing the sort order using the rest of citation field,This is the rest of citation,,
5,"Malcomson, Paul",5/21/2014 12:10:57 PM,61875,"Baggins, Bilbo",Psychiatry,2010/01/01,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Provincial,University of Western Ontario,Canada,Ontario,London,,Knowledge User,2,,,False,False,,,"Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
5,"Malcomson, Paul",4/3/2014 1:48:04 PM,61072,"Baggins, Bilbo",Psychiatry,2021/03,Visiting Professorship,,Invited Lecturer,Community Outreach Activity,Regional,,,,,,,,,,False,False,,,"Smith D, Strangelove Dr, Malcomson P.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
5,"Malcomson, Paul",3/21/2014 12:52:47 PM,60834,"Baggins, Bilbo",Psychiatry,2014/03/14,Invited Lectures,,Invited Lecturer,Continuing Medical Education,Local,University of Western Ontario,Canada,Ontario,London,,Knowledge User,,,,False,False,,,"Malcomson P, Smith D, Strangelove Dr, Snuffleupagus Mr, Baggins B, Dragon S, Parker P, Schwarzenegger  A, Harper S, Larson G.","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt",,,
